tipo,cidade,bairro,area_m2,quartos,banheiros,suites,andar,vagas,preco,preco_m2,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,estado,tipo_imovel_padronizado,tem_geolocalizacao,tem_endereco_estruturado,andar_informado
apartamento,Fortaleza,Parque Iracema,112.0,3.0,4.0,3.0,0.0,2.0,895000.0,7991.071428571428,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Parangaba,44.0,2.0,1.0,1.0,4.0,1.0,55000.0,1250.0,True,False,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Meireles,60.0,2.0,2.0,1.0,0.0,2.0,530000.0,8833.333333333334,False,False,True,False,False,False,False,False,True,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Papicu,120.0,3.0,4.0,3.0,0.0,2.0,650000.0,5416.666666666667,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Aldeota,37.0,1.0,2.0,1.0,0.0,1.0,549000.0,14837.837837837838,True,False,False,False,False,True,True,True,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Centro,61.0,3.0,2.0,1.0,0.0,1.0,575000.0,9426.22950819672,False,True,False,True,False,False,True,True,True,False,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Jangurussu,50.0,2.0,2.0,2.0,1.0,1.0,79000.0,1580.0,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao,True,True,True
casa,Fortaleza,Sapiranga-Coité,360.0,4.0,5.0,4.0,0.0,2.0,750000.0,2083.3333333333335,False,False,False,False,False,False,False,False,False,False,True,CE,casa_padrao,True,True,True
apartamento,Fortaleza,Centro,84.0,3.0,3.0,3.0,0.0,2.0,699000.0,8321.42857142857,True,False,True,True,True,False,True,True,True,False,True,CE,apartamento_padrao,True,True,True
casa,Fortaleza,Parque Manibura,207.0,4.0,3.0,1.0,0.0,3.0,630000.0,3043.478260869565,False,False,False,False,False,False,True,False,False,False,False,CE,casa_padrao,True,True,True
apartamento,Fortaleza,Aldeota,54.0,2.0,2.0,1.0,0.0,1.0,907119.0,16798.5,False,False,False,True,False,False,False,True,True,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,71.0,3.0,2.0,2.0,0.0,2.0,690000.0,9718.30985915493,True,False,True,True,True,True,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Manuel Dias Branco,116.0,3.0,3.0,3.0,0.0,2.0,1179000.0,10163.793103448275,True,False,True,True,False,True,True,True,True,True,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Aldeota,152.0,3.0,3.0,3.0,6.0,2.0,1100000.0,7236.8421052631575,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Parque Iracema,73.0,3.0,2.0,2.0,0.0,2.0,640000.0,8767.123287671233,False,False,False,True,True,False,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Mucuripe,38.0,1.0,1.0,1.0,0.0,1.0,653858.0,17206.78947368421,False,True,False,True,False,False,False,True,True,True,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Messejana,65.0,3.0,2.0,1.0,18.0,2.0,479000.0,7369.2307692307695,True,False,True,True,True,True,True,True,False,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Mondubim,64.0,3.0,2.0,1.0,0.0,1.0,450000.0,7031.25,True,False,True,True,True,False,True,True,True,True,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,76.0,3.0,3.0,2.0,0.0,2.0,740000.0,9736.842105263158,False,False,True,True,False,False,True,False,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Itaperi,126.0,3.0,2.0,2.0,0.0,2.0,640000.0,5079.3650793650795,False,False,False,True,False,True,True,True,True,False,False,CE,apartamento_padrao,True,True,True
