tipo_imovel,metragem,quartos,banheiros,suites,preco_anuncio,latitude,longitude,portaria_24h_normalizado,vista_mar_normalizado,condominio_fechado_normalizado,piscina_normalizado,deck_normalizado,varanda_normalizado,varanda_gourmet_normalizado,academia_normalizado,salao_festas_normalizado,salao_jogos_normalizado,quadra_normalizado,playground_normalizado,brinquedoteca_normalizado,coworking_normalizado,pet_place_normalizado,elevador_normalizado,nascente_normalizado,andar_alto_normalizado,mobiliado_normalizado,reformado_normalizado,frente_mar_normalizado,vista_livre_normalizado,tipo_anuncio_normalizado,anuncio_criado,nota_media
Apartamento,49.0,2.0,2.0,2.0,330.000,-3.814,-38.532,False,False,True,True,False,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,normal,2026-02-26,0.0
Apartamento,82.2,2.0,1.0,1.0,400.000,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,normal,2025-08-29,0.0
Apartamento,47.0,2.0,1.0,0.0,344.000,-3.747496,-38.546065,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,44.0,2.0,1.0,1.0,75.000,-3.810458,-38.617127,False,False,True,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,repasse,2026-05-11,0.0
Apartamento,91.0,3.0,2.0,1.0,220.000,-3.758924,-38.518698,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,48.0,2.0,1.0,0.0,215.000,-3.83564,-38.483944,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,55.0,2.0,2.0,1.0,550.000,-3.738876,-38.520063,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,normal,2026-06-08,0.0
Apartamento,46.7,2.0,2.0,1.0,190.000,-3.830379,-38.501175,True,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,39.0,2.0,1.0,0.0,126.926,-3.790636,-38.547442,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,leilão,2026-06-10,0.0
Sobrado,123.0,3.0,4.0,3.0,659.900,-3.770854,-38.474641,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,75.0,2.0,1.0,,65.000,-3.81101,-38.550269,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,repasse,2026-06-10,0.0
Apartamento,93.0,3.0,4.0,3.0,1.149.648,-3.734496,-38.514686,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,50.0,2.0,1.0,0.0,60.000,-3.811708,-38.558419,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,normal,2026-06-09,0.0
Apartamento,141.0,3.0,3.0,4.0,2.188.768,-3.747441,-38.530075,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,52.0,2.0,2.0,1.0,395.000,-3.805902,-38.488419,True,False,True,True,True,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,normal,2026-06-08,0.0
Apartamento,106.0,4.0,2.0,1.0,670.000,-3.739,-38.533,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,normal,2026-06-01,0.0
Apartamento,122.0,2.0,4.0,3.0,950.000,-3.744,-38.493,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-01,0.0
Apartamento,69.0,3.0,2.0,2.0,947.225,-3.733988,-38.509033,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,lançamento,,0.0
Casa,180.0,4.0,4.0,4.0,685.000,-3.790729,-38.458399,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,normal,2026-03-20,0.0
Apartamento,143.48,3.0,4.0,3.0,750.000,-3.736574,-38.509781,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,normal,2026-06-02,0.0
Apartamento,111.0,3.0,4.0,3.0,1.120.000,-3.746682,-38.467414,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,normal,2026-03-23,0.0
Casa,40.0,3.0,2.0,1.0,85.000,-3.807632,-38.626061,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,92.0,3.0,2.0,1.0,290.000,-3.733498,-38.56803,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-07,0.0
Casa,500.0,3.0,5.0,3.0,1.150.000,-3.787733,-38.484249,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,normal,2026-03-15,0.0
Apartamento,44.0,2.0,1.0,0.0,165.000,-3.824986,-38.474664,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,normal,2026-04-15,0.0
Apartamento,44.0,2.0,1.0,1.0,43.000,-3.802495,-38.627744,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,repasse,2026-06-12,0.0
Casa de condomínio,170.0,3.0,4.0,3.0,690.000,-3.800636,-38.471799,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,normal,2026-06-08,0.0
Apartamento,43.0,2.0,1.0,,200.000,-3.809,-38.549,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,75.0,2.0,2.0,1.0,555.629,-3.734089,-38.469562,False,False,True,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,normal,2023-01-14,0.0
Apartamento,38.24,2.0,2.0,0.0,500.000,-3.794593,-38.626796,True,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,78.27,3.0,2.0,2.0,999.689,-3.74,-38.483,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2024-08-24,0.0
Apartamento,65.0,3.0,2.0,1.0,500.000,-3.836591,-38.496524,True,False,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,normal,2026-06-11,0.0
Apartamento,84.0,2.0,3.0,1.0,230.000,-3.737,-38.519,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,205.0,4.0,4.0,4.0,3.550.500,-3.743587,-38.484141,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,72.0,3.0,2.0,2.0,689.850,-3.772,-38.484,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,normal,2026-04-01,0.0
Apartamento,234.0,4.0,4.0,4.0,4.098.389,-3.733752,-38.497858,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,lançamento,,0.0
Casa,208.0,5.0,5.0,4.0,650.000,-3.78453,-38.499758,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,normal,2026-03-20,0.0
Casa,305.0,4.0,2.0,2.0,650.000,-3.758485,-38.513666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-05,0.0
Apartamento,100.0,4.0,4.0,4.0,890.000,-3.746,-38.471,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,normal,2026-04-29,0.0
