external_id,site,finalidade,tipo,titulo,preco,preco_m2,area_m2,quartos,banheiros,vagas,suites,andar,numero_endereco,bairro,cidade,estado,condominio,iptu,endereco,descricao,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,latitude,longitude,is_lancamento,data_coleta,url
olx_olx_dom_9687086019707,OLX,venda,apartamento,Excelente Apartamento Compacto perto da Praça das Flores - Aldeota,450000.0,12500.0,36,,,,1,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:35:18+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/excelente-apartamento-compacto-perto-da-praca-das-flores-aldeota-1487912579
olx_olx_dom_243779224973930,OLX,venda,apartamento,IMOBILIARIA IGUATU TRÁS ATÉ VOCÊ UM APARTAMENTO DE 03 QUARTOS NA ALDEOTA,450000.0,6428.57,70,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:36:48+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/imobiliaria-iguatu-tras-ate-voce-um-apartamento-de-03-quartos-na-aldeota-1511836099
olx_olx_dom_243948943324293,OLX,venda,apartamento,"Apartamento à venda em Aldeota, Fortaleza",450000.0,3461.54,130,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:37:46+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-a-venda-em-aldeota-fortaleza-1484751209
olx_olx_dom_145814569370268,OLX,venda,apartamento,Aldeota com 4 quartos com 1 suite,450000.0,3435.11,131,4,,,1,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:42:24+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/aldeota-com-4-quartos-com-1-suite-1238751517
olx_olx_dom_228039592376378,OLX,venda,apartamento,"Apartamento amplo, c/ 3 quartos a venda na Aldeota Fortaleza",470000.0,4392.52,107,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:43:48+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-amplo-c-3-quartos-a-venda-na-aldeota-fortaleza-1508139714
olx_olx_dom_154485353316393,OLX,venda,apartamento,Edifício Braga Montinegro. Cobertura,490000.0,2899.41,169,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:37:51+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-braga-montinegro-cobertura-1307083495
olx_olx_dom_163739349450401,OLX,venda,apartamento,Imóvel para venda com 148 metros quadrados com 3 quartos em Aldeota - Fortaleza - CE,495000.0,3344.59,148,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:38:26+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/imovel-para-venda-com-148-metros-quadrados-com-3-quartos-em-aldeota-fortaleza-ce-1511390454
olx_olx_dom_254999269164941,OLX,venda,apartamento,"Apartamento de 148m² no bairro Aldeota, com 3 suítes, 2 vagas e voltado para nascente.",495000.0,3344.59,148,,,,3,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:39:15+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-de-148m-no-bairro-aldeota-com-3-suites-2-vagas-e-voltado-para-nascente-1510941897
olx_olx_dom_59283843027309,OLX,venda,apartamento,"Apartamento com 3 dormitórios à venda, 120 m² por R$ 500.000,00 - Aldeota - Fortaleza/CE",500000.0,4166.67,120,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:36:38+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-120-m-por-r-500-000-00-aldeota-fortaleza-ce-1372208418
olx_olx_dom_45353234414818,OLX,venda,apartamento,Apartamento com 3 quartos na Aldeota,500000.0,3448.28,145,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:38:36+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-3-quartos-na-aldeota-1511309649
olx_olx_dom_88103047512253,OLX,venda,apartamento,"Apartamento com 1 dormitório à venda, 35 m² por R$ 500.000,00 - Aldeota - Fortaleza/CE",500000.0,13888.89,36,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:38:52+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-1-dormitorio-a-venda-35-m-por-r-500-000-00-aldeota-fortaleza-ce-1511133524
olx_olx_dom_219851071504350,OLX,venda,apartamento,Apartamento com 1 suíte na Aldeota,500000.0,14285.71,35,,,,1,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:39:09+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-1-suite-na-aldeota-1511007715
olx_olx_dom_266421289858484,OLX,venda,apartamento,Apartamento com 1 quartos à venda em Aldeota - CE,500000.0,14285.71,35,1,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:42:06+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-1-quartos-a-venda-em-aldeota-ce-1509201809
olx_olx_dom_749323047669,OLX,venda,apartamento,Apartamento para venda,500000.0,2941.18,170,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:42:18+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-para-venda-1509034064
olx_olx_dom_76011158670321,OLX,venda,apartamento,Ed Place des Cysne - 67 metros - 3 quartos + 2 vagas - Lazer - Aldeota,520000.0,7761.19,67,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:38:26+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/ed-place-des-cysne-67-metros-3-quartos-2-vagas-lazer-aldeota-1511387446
zap_zap_dom_16080702667595,ZAP Imóveis,venda,apartamento,Apartamento 3 Quartos Com Cozinha Aldeota Fortaleza Ce,520000.0,4859.81,107.0,3,3,3,1,1,,Aldeota,Fortaleza,CE,1522.0,130.0,"Rua Paula Ney, 400 - Aldeota, Fortaleza - CE","Apartamentos para venda com Cozinha e 3 quartos em Aldeota, 107 m² por R$ 520.000,00. Entre em contato com Re/Max Verdes Mares!",False,True,True,False,False,False,False,False,True,False,True,,,False,2026-06-21T03:34:55+00:00,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-aldeota-fortaleza-ce-107m2-id-2872392776/?source=ranking%2Crp
olx_olx_dom_169040619781824,OLX,venda,apartamento,"Apartamento à Venda na Aldeota nobre, com 128m²",530000.0,4140.62,128,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:36:48+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-a-venda-na-aldeota-nobre-com-128m-1485359847
olx_olx_dom_50681760285610,OLX,venda,apartamento,"Apartamento de 63m² na Aldeota, com 3 quartos, 2 vagas paralelas e voltado para o nascente",530000.0,8412.7,63,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:37:56+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-de-63m-na-aldeota-com-3-quartos-2-vagas-paralelas-e-voltado-para-o-nascente-1511551775
